ID,Use Type,GFA (m²),Share of total Area,Tier (Age-Based),Unit Cost (¥/m²),Est. Revitalization Cost (¥),Est. Cost (¥M),Cost per m² check,Annual Total Energy/GFA,Annual Energy From Renewables/ GFA,Carbon Emmissions Annual (Tons) W/DER,Carbon Emmissions Annual (Tons) W/O DER,DER Captial Expenditures,Energy Bill W/DER,Energy Bill W/O DER,Operation & Maintenance Cost W/O DER,Operation & Maintenance Cost W/DER,Energy Lifecycle Cost W/O DER,Energy Lifecycle Cost W/DER,Grid,PV,Batteries,Total Building Energy Demand
2070,Office,410.536,0.016216506,Maintenance,45300,18597280.8,18.5972808,45300,20497.874,8199.149601,3.19465162,4.832518694,1101754.908,16658.67271,29261.86331,0,49498.79708,7866535.656,5789590.679,10.76775978,5.909294672,3.82060874,20.49766319
2563,Residence & Commercial Mixed,82.10099999,0.003243056,Renovate,135900,11157525.9,11.1575259,135900,4099.265237,1639.706095,0.638882078,0.966430757,220334.3426,3331.48296,5851.930743,0,9899.011875,1573188.329,1157830.7,2.153389338,1.181769691,0.764064048,4.099223077
3037,Office,3552.2282,0.140315901,Reconstruct,302000,1072772916,1072.772916,302000,177361.1232,70944.44928,27.64223253,41.81413855,9533110.014,144141.8219,253192.9381,0,428296.2344,68066454.09,50095356.5,93.16975839,51.13111439,33.05842632,177.3592991
3042,Office,3333.251886,0.131666159,Renovate,135900,452988931.3,452.9889313,135900,166427.7364,66571.09455,25.93823328,39.23651532,8945443.577,135256.2315,237584.916,0,401894.0087,63870512.73,47007239.44,87.42632944,47.97914827,31.02054701,166.4260247
3044,Office,528.813,0.020888543,Maintenance,45300,23955228.9,23.9552289,45300,26403.39031,10561.35613,4.115043035,6.224785911,1419174.733,21458.10037,37692.31863,0,63759.59084,10132914.82,7457594.013,13.86999277,7.611785187,4.921340807,26.40311876
3065,Residence & Commercial Mixed,177.5277,0.007012488,Renovate,135900,24126014.43,24.12601443,135900,8863.876558,3545.550623,1.381460224,2.089721557,476430.8483,7203.694322,12653.68029,0,21404.71871,3401718.685,2503587.303,4.656292328,2.55535079,1.652142278,8.863785396
3067,Office,50.99767849,0.00201445,Renovate,135900,6930584.506,6.930584506,135900,2546.290674,1018.51627,0.396846601,0.600306026,136862.4008,2069.376705,3634.972565,0,6148.848674,977198.2389,719195.598,1.337594635,0.734065489,0.474604361,2.546264486
3074,Residence & Commercial Mixed,583.6823999,0.023055929,Renovate,135900,79322438.15,79.32243815,135900,29142.99426,11657.1977,4.542018056,6.870666908,1566427.667,23684.58325,41603.25673,0,70375.25742,11184301.53,8231390.627,15.309137,8.401580608,5.431976924,29.14269454
3078,Office,636.0412525,0.025124146,Reconstruct,302000,192084458.2,192.0844582,302000,31757.24773,12702.89909,4.949456851,7.486995643,1706943.049,25809.19349,45335.24999,0,76688.22441,12187582.07,8969782.204,16.68243324,9.155238967,5.919248904,31.75692112
3486,Apartment,469.2561132,0.018535998,Maintenance,45300,21257301.93,21.25730193,45300,23429.7423,9371.896919,3.651591584,5.523727371,1259341.996,19041.4093,33447.26953,0,56578.74859,8991708.271,6617692.04,12.3079026,6.75451763,4.367081102,23.42950133
3550,Office,875.3904,0.034578632,Reconstruct,302000,264367900.8,264.3679008,302000,43707.84078,17483.13631,6.811990568,10.30443243,2349284.032,35521.46991,62395.39097,0,105546.8261,16773899.96,12345207.49,22.96021186,12.60045362,8.146725776,43.70739126
3552,Residence & Commercial Mixed,109.3164,0.004318087,Maintenance,45300,4952032.919,4.952032919,45300,5458.117664,2183.247066,0.850663071,1.286789823,293372.2747,4435.825676,7791.768697,0,13180.40391,2094679.537,1541636.325,2.867209538,1.573510776,1.017341215,5.458061529
3554,Office,2148.650041,0.084873423,Renovate,135900,292001540.6,292.0015406,135900,107281.1101,42912.44405,16.72006435,25.29228008,5766329.209,87187.62257,153149.794,0,259065.2036,41171619.94,30301372.48,56.35595293,30.92787537,19.99617848,107.2800068
3562,Office,1778.13754,0.070237878,Renovate,135900,241648891.7,241.6488917,135900,88781.59104,35512.63641,13.83686199,20.93088768,4771985.31,72153.01782,126740.6942,0,214392.0857,34071999.44,25076213.85,46.63795107,25.59468279,16.54804408,88.78067794
4050,Office,6231.023343,0.246130487,Renovate,135900,846796072.3,846.7960723,135900,311112.1349,124444.8539,48.48770588,73.34688503,16722188.92,252841.5987,444129.9992,0,751281.6418,119396514.1,87873108.98,163.4306432,89.68994935,57.98834266,311.1089352
4062,Office,1062.9531,0.041987511,Renovate,135900,144455326.3,144.4553263,135900,53072.76028,21229.10411,8.271539752,12.51227841,2852645.796,43132.36307,75764.33813,0,128161.4762,20367905.53,14990313.54,27.87970759,15.30024916,9.892257693,53.07221445
4560,Residence & Commercial Mixed,194.286,0.007674455,Maintenance,45300,8801155.799,8.801155799,45300,9700.610783,3880.244313,1.511867619,2.286987565,521405.0753,7883.710289,13848.16526,0,23425.28619,3722834.895,2739921.504,5.095838065,2.796571372,1.808101578,9.700511015
4562,Office,333.438225,0.013171081,Renovate,135900,45314254.78,45.31425478,135900,16648.41749,6659.366997,2.594702939,3.924982111,894847.7133,13530.20992,23766.54852,0,40203.0298,6389217.234,4702318.042,8.745597724,4.799541883,3.103106662,16.64824627
4569,Office,850.2685325,0.033586298,Renovate,135900,115551493.6,115.5514936,135900,42453.51747,16981.40699,6.616500734,10.00871685,2281864.51,34502.07827,60604.77418,0,102517.8536,16292524.23,11990925.94,22.30130197,12.23884704,7.912931842,42.45308085
4571,Office,1081.316552,0.042712883,Renovate,135900,146950919.4,146.9509194,135900,53989.639,21595.8556,8.414437893,12.72843905,2901927.767,43877.51267,77073.23386,0,130375.5787,20719779.05,15249284.42,28.36135411,15.56457446,10.06315516,53.98908374
5039,Public,534.1997025,0.021101322,Reconstruct,302000,161328310.1,161.3283101,302000,26672.34589,10668.93836,4.156960523,6.28819409,1433631.019,21676.68124,38076.26779,0,64409.07174,10236132.78,7533560.073,14.01127811,7.689321901,4.971471569,26.67207158
5050,Office,292.519692,0.011554766,Reconstruct,302000,88340947,88.340947,302000,14605.37393,5842.149571,2.276288823,3.443320148,785034.7018,11869.82338,20849.98939,0,35269.43528,5605151.772,4125263.759,7.672364357,4.210556584,2.722302775,14.60522372
TOTAL,,25315.93476,1,,,4263701526,4263.701526,,1264013,505605.2,197,298,67940339.86,1027266.48,1804449.36,0,3052371.333,485094372.9,357018385.5,664,364.4,235.6,1264
